Symbol,Company,Stage,Days_Since_Breakout,Breakout_Price,Stop,Pct_To_Buy,Buy_Point,Last_Price,Cup_Depth_pct,Cup_Weeks,Handle_Depth_pct,Handle_Days,Cup_Low,Target,Vol_x_Avg,Above_50DMA
NPST,Network People Services Technologies Limited,BREAKOUT,3.0,1834.6,1687.83,0.0,1764.8,1883.9,20.7,7.4,8.1,18,1416.3,2113.3,0.79,Yes
JSWINFRA,JSW Infrastructure Limited,BREAKOUT,1.0,348.25,320.39,0.0,348.0,367.3,33.1,46.2,8.6,17,233.42,462.58,3.94,Yes
ACE,Action Construction Equipment Limited,BREAKOUT,1.0,1229.2,1130.86,0.0,1196.0,1238.0,37.7,45.6,10.2,23,745.1,1646.9,0.29,Yes
ONEPOINT,One Point One Solutions Limited,BREAKOUT,0.0,63.99,58.87,0.0,62.43,63.99,21.4,10.8,14.2,26,51.78,73.08,4.02,Yes
ZIMLAB,Zim Laboratories Limited,BREAKOUT,5.0,139.22,128.08,0.0,136.9,131.58,22.6,9.8,8.5,12,106.0,167.8,0.23,Yes
PVRINOX,PVR INOX Limited,BREAKOUT,1.0,1324.7,1218.72,0.0,1284.5,1313.1,29.4,41.0,12.4,19,907.4,1661.6,0.31,Yes
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,BREAKOUT,0.0,607.5,558.9,0.0,605.7,607.5,20.1,11.0,12.7,10,492.1,719.3,2.17,Yes
SPLPETRO,Supreme Petrochem Limited,BREAKOUT,1.0,865.7,796.44,0.0,843.8,865.6,22.0,20.0,8.8,7,660.6,1027.0,0.14,Yes
SHARDAMOTR,Sharda Motor Industries Limited,BREAKOUT,1.0,967.05,889.69,0.0,958.15,960.25,14.8,6.8,9.7,21,816.45,1099.85,0.38,Yes
JINDALPOLY,Jindal Poly Films Limited,BREAKOUT,4.0,737.9,678.87,0.0,719.5,720.0,17.4,8.0,7.4,10,617.6,821.4,0.31,Yes
TATAINVEST,Tata Investment Corporation Limited,BREAKOUT,4.0,718.35,660.88,0.0,714.8,686.25,18.5,16.0,13.8,28,621.15,808.45,0.23,Yes
GEEKAYWIRE,Geekay Wires Limited,HANDLE FORMING,,,29.81,-3.7,31.2,32.4,32.7,19.2,12.6,13,21.0,41.4,0.96,Yes
