Symbol,Company,Session,Score,RVol,Gap_pct,ATR_pct,Prev_Close,Open,OR_High,OR_Low,OR_Range_pct,Long_Trigger,Long_Stop,Short_Trigger,Short_Stop,Stop_Dist,Risk_pct,Exit,Breakeven_pct,Cost_vs_ATR,Turnover_Cr,Open_Vol,Last
INDUSINDBK,IndusInd Bank Limited,2026-09-24,20.28,20.28,-3.35,1.88,959.3,927.2,927.2,910.6,1.79,927.2,918.48,910.6,919.32,8.72,0.94,close,0.183,9.7,161.03,470384,915.0
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,2026-09-24,20.02,20.02,-6.54,2.5,1774.0,1658.0,1671.4,1646.0,1.53,1671.4,1650.71,1646.0,1666.69,20.69,1.24,close,0.183,7.3,200.55,403982,1695.5
AXISBANK,Axis Bank Limited,2026-09-24,15.05,15.05,-2.27,1.63,1243.2,1215.0,1217.7,1193.7,1.98,1217.7,1207.79,1193.7,1203.62,9.91,0.81,close,0.183,11.2,515.42,540376,1197.4
HDFCLIFE,HDFC Life Insurance Company Limited,2026-09-24,13.05,13.05,-5.56,2.87,561.5,530.3,535.25,524.65,2.0,535.25,527.65,524.65,532.25,7.6,1.42,close,0.183,6.4,189.39,555392,514.55
KOTAKBANK,Kotak Mahindra Bank Limited,2026-09-24,10.11,10.11,-1.51,1.54,413.25,407.0,410.0,406.0,0.98,410.0,406.86,406.0,409.14,3.15,0.77,close,0.183,11.9,456.43,885933,405.25
SBILIFE,SBI Life Insurance Company Limited,2026-09-24,8.34,8.34,-3.21,2.36,1760.0,1703.5,1723.4,1703.5,1.17,1723.4,1703.31,1703.5,1723.6,20.09,1.17,close,0.183,7.8,143.45,60794,1780.4
JSWINFRA,JSW Infrastructure Limited,2026-09-24,5.82,5.82,-0.88,3.23,363.6,360.4,368.55,360.4,2.26,368.55,362.74,360.4,366.21,5.82,1.58,close,0.183,5.7,156.03,322777,365.0
BHARATFORG,Bharat Forge Limited,2026-09-24,5.82,5.82,-0.93,2.55,2004.0,1985.4,1994.7,1981.4,0.67,1994.7,1969.34,1981.4,2006.76,25.36,1.27,close,0.183,7.2,170.03,58457,1991.5
NAUKRI,Info Edge (India) Limited,2026-09-24,5.54,5.54,-5.32,2.76,1297.0,1228.0,1235.8,1209.8,2.12,1235.8,1218.88,1209.8,1226.72,16.92,1.37,close,0.183,6.6,150.09,75788,1238.4
MANINDS,Man Industries (India) Limited,2026-09-24,5.36,5.36,-2.12,6.44,1000.9,979.65,983.95,964.35,2.0,983.95,952.41,964.35,995.89,31.54,3.21,close,0.182,2.8,183.85,147693,969.0
LICI,Life Insurance Corporation Of India,2026-09-24,4.89,4.89,-1.4,1.91,407.5,401.8,407.15,401.8,1.33,407.15,403.32,401.8,405.63,3.83,0.94,close,0.183,9.6,255.82,606741,411.5
IDFCFIRSTB,IDFC First Bank Limited,2026-09-24,4.36,4.36,-3.73,1.91,87.9,84.62,84.9,84.33,0.67,84.9,84.09,84.33,85.14,0.81,0.95,close,0.182,9.5,161.26,1246741,84.93
PERSISTENT,Persistent Systems Limited,2026-09-24,4.24,4.24,-0.71,2.61,5240.0,5203.0,5274.0,5203.0,1.36,5274.0,5206.22,5203.0,5270.78,67.78,1.29,close,0.183,7.0,249.74,52671,5297.5
MAXHEALTH,Max Healthcare Institute Limited,2026-09-24,3.22,3.22,-1.67,1.8,1059.9,1042.2,1048.2,1036.5,1.12,1048.2,1038.8,1036.5,1045.9,9.4,0.9,close,0.183,10.2,177.08,58891,1046.1
GMRAIRPORT,GMR AIRPORTS LIMITED,2026-09-24,3.19,3.19,-0.59,2.56,99.14,98.56,99.43,98.56,0.88,99.43,98.17,98.56,99.82,1.26,1.27,close,0.182,7.1,137.05,703853,99.1
BAJFINANCE,Bajaj Finance Limited,2026-09-24,3.08,3.08,-2.99,2.02,1043.2,1012.0,1012.0,976.6,3.5,1012.0,1001.8,976.6,986.8,10.2,1.01,close,0.183,9.1,512.68,373493,1001.1
ENGINERSIN,Engineers India Limited,2026-09-24,2.65,2.65,-1.32,3.61,306.2,302.15,303.7,301.25,0.81,303.7,298.25,301.25,306.7,5.45,1.79,close,0.183,5.1,230.82,251329,302.3
BANDHANBNK,Bandhan Bank Limited,2026-09-24,2.65,2.65,-4.12,3.17,191.38,183.5,187.72,183.5,2.3,187.72,184.81,183.5,186.41,2.9,1.55,close,0.183,5.8,215.32,908282,189.0
BSE,BSE Limited,2026-09-24,2.52,2.52,-1.14,3.33,3270.7,3233.5,3296.9,3233.5,1.96,3296.9,3243.1,3233.5,3287.3,53.8,1.63,close,0.184,5.5,1272.69,293942,3256.2
SONACOMS,Sona BLW Precision Forgings Limited,2026-09-24,2.38,2.38,-0.55,2.63,833.0,828.45,828.55,822.4,0.74,828.55,817.67,822.4,833.27,10.88,1.31,close,0.183,7.0,141.11,66869,829.25
